6E1703,800688
AK5135,750147
EK704,89647B
NU21,8409ED
AI982,800B63
FZ559,89637B
J220,600803
QR1148,06A0BD
Y87545,78121F
QR282,06A098
6J89,86D237
ZF5227,424561
NH452,867D00
BA155,400966
CA806,7807CD
KE1200,71BD60
DD6651,881050
SV1942,71008E
TK2054,4BAA62
8Y705,75847D
PN6214,780BA6
GF764,89402B
BA33,406F79
J29226,600843
CZ6532,7807C3
EK801,89630E
KK1042,4B8682
W51194,7335C6
EK360,89631B
I36604,735024
6J31,86D1F3
TK7178,4BCC2B
7G41,84B982
PR2380,7584F2
KE1412,71C245
ZE203,71C035
BX8800,71C055
5J551,7583A2
D7501,750299
VJ601,888141
9W563,80043D
7C1408,71C020
IB6801,3450D7
ET714,040140
PK214,760981
DZ6224,7810AD
EK815,896451
DZ6277,7810D1
OZ768,71C293
MU788,7807D6
KE1631,71C093
KE1201,71BF24
NU71,840659
KU362,70604F
QR1360,06A0B3
UK986,800B70
FZ716,8963B6
QR8102,06A0DD
DD3143,881057
SG84,800477
PN6285,780BA7
SU1112,155BE5
EK176,8963DC
7C201,71C287
5J5054,758433
EY603,896160
G52631,781223
SU1852,424315
7C1304,71C034
JL490,851826
7L264,4243C4
TW205,71C294
HU6129,7800A7
HU6258,780B1A
PO980,A62EE6
QR870,06A1BD
7C1452,71C019
MS612,0101B9
DZ6205,781130
JL2233,84BB0E
FZ796,896378
DZ6265,781199
TV6017,780DB4
S7809,424549
NH631,86960C
BA262,4006B2
7J646,5152EF
5X2,A77F26
XY592,4241EB
QR537,06A091
PN6327,7810B4
6E169,800596
TW931,71C268
TV9937,7811DC
PK398,760995
3U8995,780E54
G9284,896497
F3164,71012A
WY251,70C0F1
G9420,8964C6
5J619,75829E
WY657,70C0DF
PR2967,758203
3U8315,780CED
G54377,7804A5
NH652,861BEC
NH1411,86789E
LH599,3C656B
TK53,4BA9EA
TK964,4BAA4B
PR489,758306
OZ8902,71BF03
CA4589,780831
EK84,8964A2
QR535,06A090
PR2682,7584F1
AZ758,4CA936
UL174,77044E
PS798,508370
8Y701,7584FB
BY58,406B12
EK440,89649F
JL161,8518D0
AK6350,7501E4
LH631,3C4ACD
6J11,86D215
LH755,3C4B2D
MU2209,780DE1
HU7005,780980
5Y9058,A4C79B
JD5121,780EC5
DZ6219,78104A
EK966,896209
EY78,896488
SV1620,710086
PN6297,780EF2
5J240,7583E8
QR308,06A153
CA8202,7803C3
EK714,896314
KL428,484371
VJ120,88803E
VN9723,888053
AF6752,3951C2
PN6253,781038
NL224,7609CA
KQ304,04C118
5J474,7583F8
EY27,89613C
PN6333,780726
BK2868,7800CF
U62928,42429E
VN7375,8880AB
JL253,851BFE
IA949,72862D
XY58,42417D
SL618,8832AC
CA1659,780FE2
EK62,896306
MS955,01012A
BA142,400615
SU5603,4240E1
PN6387,7810B5
HD57,841A6C
NH412,8675B4
EK96,8960CE
TU713,02A0AD
NH13,86787C
BR149,899071
LH720,3C4B28
B2776,510080
WY671,70C0A7
SV1957,71007D
QR41,06A19F
FX10,AC45D5
AI84,80057B
QR633,06A069
KL872,484006
FM882,780C62
NU50,8414A9
S729,4240CF
KL895,484CBA
BA72,406F74
MH2633,750282
GJ8009,781259
OZ706,71BF37
KZ615,841427
SV884,710060
G9455,896496
SV1426,710070
3U8547,78080A
KE1250,71BF08
GJ8088,780E15
MU2190,7812A5
JL2051,84C302
EK582,8960DD
EY18,896462
BT797,502CCE
DG6302,75840B
KE1402,71BF17
G9459,8963BF
BX8011,71BF45
IA967,728675
CZ8289,780B15
VN9721,888027
AK516,750453
QR656,06A096
PR2696,75842D
JL232,851958
JD5678,780D7D
TK419,4BAACA
KE1101,71BF58
AK5876,750076
WY637,70C0A8
6E401,8005DE
SC8829,780DE8
TG927,885176
3U8259,780809
QR490,06A030
ES110,89408A
MS958,01013D
ZO4120,736836
5J813,7583A1
CF9032,78052B
AF463,394A11
TK7020,4BA8D9
PK206,760996
AK156,75002A
QR517,06A03E
TK872,4BAA8D
6E1402,800B2B
WY691,70C0A9
KE1001,71BF19
CA422,7803F5
3U8507,78080B
CA4511,78103F
KE1100,71C247
EY315,8962E4
BC2,8681BA
SV447,710062
KE1603,71BF57
MU2068,78078D
NV2514,734EB3
U693,4242CF
Y87561,781220
T5736,601834
MU7269,7805BE
NH986,86D96C
TG685,885043
UT535,4249E0
MM151,86D273
TR379,76D031
5J929,7582E3
8Q48,4BBDD3
UT559,4249C5
SU1956,424351
EY313,89612E
N4161,424240
JL2401,84C2BE
U62880,424615
VJ879,888156
BX8851,71BF12
MU5024,780D19
8L9768,7800D4
5Y8646,A865E3
GF248,89402D
G9472,8964E8
WY601,70C0BF
9C8574,78121E
HU7293,7800E2
NH94,867592
BX8101,71BF13
TV9805,78089B
SV948,4BB474
QR621,06A053
3U8907,780B02
BA64,4006AB
TW711,71C237
J29006,600841
CA1135,780C97
HD61,8470A0
SM806,0100E4
9C8732,780860
NH671,86D8FC
7C103,71C061
BC102,86803A
SV61,71002B
AF671,3965AE
CZ6729,78102F
CI5254,899106
SU1164,424593
NH381,869278
S73510,424429
QR186,06A0BE
LH761,3C65A4
CA180,780299
EK9743,896170
AY143,461F0E
CZ3399,780BD0
5J564,75816D
PC428,4B9063
TW297,71C220
QR35,06A0AF
TV9877,7810AC
LH2556,3C6582
KL809,485000
SV1524,71040C
CA1691,7804CE
EY8,896299
BC591,8681B7
JL221,851C86
BC101,8681A8
CA1585,7805C3
DZ6241,780D8D
JL102,861EDE
SC8763,7806C7
9W78,8007DB
AZ784,4CA1DC
CA1419,780068
CA1048,78007E
JL300,86222E
SV1456,71004C
TK5467,4BA88E
S7798,424130
LH637,3C6572
EK414,8960FB
QR31,06A0BC
9W128,80071F
ZH9157,7807AB
NH241,86835A
TK6490,A4B508
CA4243,780067
QW9881,780FC8
AQ1053,780D03
MH1137,75020C
CA4163,78096F
QR256,06A09C
KU346,706005
JL431,851CCA
3U8555,780E4D
3U8877,780DDC
AK11,7503B1
HU7015,780B5F
EK823,896318
EK9987,4D012B
IT230,899024
CA4451,780DF9
CZ6151,780097
6E54,800628
BA106,4005E2
NH312,86E4A6
LJ221,71BD59
HU7865,7808E0
6E428,800626
BX8013,71BF63
MU5281,780B3B
PN6227,780F51
A3984,4690EF
OD2105,7502DA
HU7029,78083F
S7117,424585
TK475,4BAA0B
QR507,06A022
SU1742,4242A2
KC888,4850A7
UA155,A48DEA
CZ3166,780261
UT173,4249CB
KQ204,04C14B
WY371,70C04A
QR8222,06A2C8
SU5626,400160
LJ215,71BD62
TV9809,780F88
5J652,758324
6E84,800687
QR8691,06A1A3
MU2801,7812B5
8L9916,780C19
FU6663,7812AB
ZH9900,7807FE
LX1324,4B161B
A3936,4692D2
TK386,4BAA0F
AZ853,30061F
SM804,0101BF
HU6314,780530
GJ8771,780E56
PR2140,7583FA
JH351,841024
QR573,06A1BC
JL474,8514D6
SC4909,780FF6
DZ6262,7802EC
9W517,8005A3
CI223,8991B4
EY45,896385
PN6243,780763
S73268,424131
CA1109,780D88
WY225,70C0C1
CA4247,780069
BX8891,71BF53
WY211,70C0DE
HU7019,780E28
G9544,896466
CZ3994,780082
SU5606,4240DF
GK525,846A34
TV9855,780DB3
PR2520,758201
ZH9112,7805B5
UT437,4249AB
6W128,14F107
FD624,880459
OZ8911,71BD14
QR21,06A0AD
8L9619,781052
GF211,89405C
SC4819,780820
5J891,758322
JL2181,84BAEC
3U8053,780C2C
3U8896,780F31
7L406,3005E1
BA5,4007F4
BG202,70204B
NH240,86750A
SQ7970,76CCCB
CA1361,7809A6
NH582,86D594
SC4989,7BB133
HU6360,7804FB
JD5153,7802DC
PN6219,780F52
SK983,45AC41
GF540,894077
TG332,885226
QR1346,06A017
CI7522,8991BA
RS762,71BA12
NH1761,840C1C
CZ3269,780C35
SC4873,78035C
AI946,80057A
TK45,4BA9E5
3U8206,780CEA
PN6317,780E9B
9C8751,780714
NH451,8477C8
G9517,8962D1
BA11,406D1A
VJ187,88813C
KY8305,780E95
TK581,4BAA0C
SC8897,780C8F
QR579,06A0FE
NH651,86D222
AI120,8005F4
EK126,89630B
EY71,896397
GJ8907,78119E
9W364,80072C
NL892,7609AB
QR549,06A050
PR2204,7582A0
TK897,4BAB46
CA912,780BF9
DZ6231,780E64
VJ653,8880F4
JL2431,84C29C
7G40,84BD16
8L9857,780C72
VN7224,8880A4
ZA212,70E03C
MU2293,7803E8
JL213,84C27A
MU9613,780D25
3U8573,7805EA
IT200,89902D
EY23,8961A5
3U8773,7808F3
SC4763,7BB132
UT363,424106
DY4602,47A039
9C8708,780006
3U8603,780C2D
XY302,4247A9
TR978,76D258
OK906,49D055
IT301,89902A
WY667,70C0C9
S7874,42441E
NH501,86E184
NH382,8626CC
SZ9118,48435D
WY901,70C0F0
SV748,710051
VJ865,888097
SV702,710108
LH613,3C6758
HU7031,780B1B
SU1166,155C0F
KL835,4850F5
QW9771,7802B3
FZ29,8962C0
HO1205,780EE4
EY38,896343
MF8001,780CDF
JD5595,780084
SC1151,78067C
KL897,485345
NH5541,85CD04
QR201,06A029
MU5202,780B7D
AK1510,750287
MF8395,780F0E
EY323,8961C1
GJ8791,781131
HO1647,7806A5
PN6305,780E86
7G11,842292
SV372,7103D7
PR511,758304
EK570,89611A
5J382,75816F
U62969,424932
SV1686,71007B
CA4013,7800DE
CK206,7805DC
9C8821,7805D1
EU2284,7810EE
6H702,738284
HU6090,780420
GJ8839,781196
AK126,750419
AK5110,75013F
BX8107,71C073
JL430,851BDC
F3174,710127
9C8679,780F04
JW180,841FBC
TV9814,7811DD
MU2243,7805C9
SC8783,7809A0
OK910,49D095
HU7720,78110B
UU974,3A2E23
BC831,8681BD
JL491,85153C
FM9780,780695
JL960,851142
LY841,A96B14
6J72,86CEE7
IX252,80044A
QW9838,780FC9
IT240,899026
LJ201,71BD63
JL475,8515C4
JD5521,780B6F
EK722,896174
6E475,800BE0
NH583,86D2AA
PR1810,7580B2
NH338,8622AE
BC140,8681B4
TK446,4BA993
CA403,7810BA
VJ501,8880AF
9C8768,7811B0
9C8613,7809AC
VJ271,8880B0
J9502,70620F
NH632,86DDF0
CA1621,780ACD
TK686,4BA91A
BR166,8990B3
5J649,758272
VN7220,888022
BL510,8880F9
AK272,750466
EK58,896472
TK293,4BA995
SU250,42457E
AK237,750149
IX344,800B9E
AK182,75043C
5J992,7582B3
CA9805,7806C0
KE932,71BE30
FZ736,8963B1
EK92,89647E
UZ115,01801F
CA8971,78130F
AQ1023,780E8A
QR523,06A02F
GJ8001,780E58
Z92051,683221
QR557,06A2B3
EK231,896471
G9600,8964D9
LN252,018085
LJ261,71BD57
EY275,89642A
MU5459,78119B
3U8983,780CEB
Z2780,75832F
JD5685,78096B
QR419,06A09B
GK303,841400
SL754,88328B
JL103,861AE4
CZ3172,78062C
QR663,06A08D
AQ1105,780E8C
CA1861,780E1D
EY305,89625B
SC4644,780FF2
SV836,71005A
AI30,8005EC
3U8317,7804D9
WY297,70C0E1
A320,758233
6J52,86CF4D
G9436,896411
SU1942,4000FA
SC1183,7809A8
EK650,896120
QR8642,06A1A2
AK138,750441
Z229,75847B
8L9994,78101C
KN5925,7811B3
WY852,70C0A4
TV9879,780F86
9W582,800556
I36608,735023
EY217,896429
9W573,80015D
EK569,89620C
FD3042,880442
JL503,8686B2
QR827,06A0AE
LH780,3C64FA
GF19,894078
AK5192,7502B3
QR69,06A1BB
SU6453,4CAAAE
AQ1029,780E8B
HU7391,780DD6
JD5541,7806BE
NH93,861E70
NU51,84183D
U62812,4242B2
PN6247,78079F
MU9747,7803EB
BC3,8681B5
EK52,8960F4
HU7294,780FFE
XG1371,3C0A44
CA1283,780BF3
5J150,7583B7
EU2223,7802D0
GF560,894061
EU2703,7810EC
FM9379,780F85
CI5134,899111
MU5714,780DB8
VJ841,8880F5
S7123,424288
5J483,7583A5
NH371,868428
JL141,8514F8
SC4779,78047E
QR874,06A146
PR485,758339
NH531,86EF03
GM8756,4B1937
WY124,70C0C4
GF17,89406F
NH672,86D1DE
JL200,851C20
JH361,840C90
GK312,84106C
GK629,845F78
SC4725,780AD3
JL452,862D72
A3972,4691C3
DJ1,8408CC
MF8403,780F59
NH601,86CFA0
CZ6210,78024A
ET704,04002F
SU1430,42434C
CN7669,7805A5
SU1869,42437B
UT361,42455C
PK788,7608F9
8L9557,7810BF
VJ925,888127
FD3416,88044A
EY31,896405
9C8909,7807B1
LH772,3C65A8
G9636,896401
DZ6213,780E65
ZE621,71C053
FU6629,780F5A
JL291,851CA8
CA904,780020
9C8779,78067F
RJ815,7415A3
JL370,85188C
6Q542,778827
BK2819,78072C
HX305,780A5E
9C8930,780B71
ZH9887,7802C5
TK791,4BA9AA
SG14,800BDE
S7694,424559
FZ706,8963BA
G8461,800C60
CZ3138,780BCB
MU7661,780791
KC138,48411A
9C8839,7807B2
CA4271,780FE3
CI278,89904B
PR2130,758344
QW9865,780E34
SU208,424401
6J71,86CEA3
9C8819,78082C
BG87,702066
G9621,896366
MM191,86CF01
QR78,06A0DC
OZ8405,71BF73
EK48,89639B
EY48,8961A2
SQ7979,76CCD1
NH502,862338
WY144,70C0C6
MH1427,750210
EK705,8963D5
MU5633,78119A
CZ468,7804C7
JD5315,780C0C
EK9885,89616F
CA4403,780352
JH301,841E74
TK114,4BAAC7
TW671,71C030
GF31,89406E
GK200,84B940
JL2383,84B868
PR383,758305
KU302,706028
SC4829,7BB135
KZ85,846DEF
RU738,42431A
BL781,888144
TK2022,4BAA56
TV9832,7809DD
BL582,8880CB
TK770,4BAA8F
MU5141,7800AD
NU43,841115
WY849,70C0DD
EY238,8963A9
MK640,060019
EK513,89621A
DE378,3C49E8
EY11,896463
JL605,862D94
WY235,70C0CC
KQ101,04C117
6E242,800C1F
OZ731,71C258
AK5246,750324
EK788,896210
JL622,862D50
7G72,8417D6
GF181,894065
EY1,8964C3
OS63,440BB8
BK2883,780700
AK2010,7502BC
BR178,8990CC
JL2000,851936
CZ3183,7802DF
Z2763,758330
9W762,80067D
QR123,06A032
TV9847,780900
HU6157,78049E
TK295,4BAAA7
KE916,71C084
EK623,896109
KN2381,780C86
WY154,70C0EF
QR215,06A088
EY75,8964BB
EY232,89643E
QZ180,8A02B0
HU7592,780E2A
OS641,44081E
JH141,842208
EK305,8963F6
EK432,8960C9
CZ6730,780B72
TV9853,780F89
G52901,781067
CA9505,780971
MM80,86D2B7
EY673,89613D
ZH9191,780750
TK144,4BAA6F
CA1353,78115E
KU332,70602B
SC4697,780F66
TK4123,4BA8DA
PN6213,780C0F
QR605,06A064
EK956,896307
CA4249,780DFB
S73280,42455B
S7115,4242DF
XJ761,886283
JL252,850D8C
LH712,3C4AD2
9C8957,7812C5
6E5924,8007DD
CA9635,7803F8
XG1761,3C0A43
EY30,896133
TK700,4BAAC9
MU7635,781016
AZ769,4CAA32
HU7870,780566
HD71,846250
SU1120,155BB9
DL166,A1775F
JL585,851C64
SL549,8832B6
TW201,71C253
WY132,70C0F6
TK696,4BAA76
EK525,8960CF
9C8920,780DC5
TK141,4BAA6D
MK34,06002F
6J12,86CF09
8L9705,780567
SC1161,78111A
ST3048,3C09DC
UT806,424291
DZ6273,780D8E
DD9200,881059
EK604,896215
CZ3051,7803B1
AK854,750464
E3815,8838EB
SC4957,780B04
6E844,800466
AE269,8990AA
FM9535,780B30
BA79,406D79
NX870,780345
Z2942,75833E
AK828,75015A
CA4415,798039
TK371,4BA93A
LH778,3C65A5
MU2324,780669
QR164,06A0B6
FZ673,8962BC
JL900,862DD8
BA39,406F78
PR487,75839F
EY906,896357
SV1540,7100A9
JL662,851F4E
EU2715,7808D7
NH401,861BA8
SV1515,710094
NH463,867816
Y87503,78097E
MU5137,7808E9
MH797,750216
VN302,88809A
QW9785,780C4A
6E351,800BA7
OZ542,71BE35
TK338,4BAA86
MH2542,750214
ZH9566,78050C
CZ3686,780263
VJ232,4B9919
JL3002,861BB0
MU2129,7800F1
SC1155,78047D
OZ701,71BC28
HO1138,7810EA
CI164,8990A8
LJ647,71C012
PR662,75833B
SC4841,7806E9
MF8122,7805DF
MM311,86CEDF
3K761,76AA68
NH862,86CE8E
7C2461,71C089
3U8849,780E53
SC8843,78111B
SC8809,780DEE
BL520,8880EC
FZ754,8962BF
IT236,899023
TK72,4BA94C
3U8516,780B85
AQ1055,780D02
CX650,780AB6
FG416,700007
HO1094,780F6B
MU2175,780607
NX825,780EC3
LH8400,3C70C1
YL100,018086
KA319,7801B2
RB534,778565
WE336,885310
TK96,4BA933
NH692,86E48D
FM9141,7BB084
FM9537,780CAA
8L9856,780E9A
SC8880,780891
EY73,8964C1
MU2335,780301
TK483,4BA994
NH2152,85D42C
ZH9546,780569
SG2,8001D9
EK543,8960DF
3U8369,780B68
PR859,7583E2
JL2171,84B7BE
CZ3280,780E07
3U8251,780468
TK775,4BA90E
AK5744,750465
MU2058,781234
CI166,899042
HO1288,781251
SK997,45AC4D
QR704,06A105
GF69,89407C
SU1244,155C12
NH802,86EEA0
JL231,851C42
QR286,06A087
ET405,040076
3U8725,781012
TK814,4BAA8B
CA1961,780868
EY269,89643D
PR2872,758087
GJ8851,780E17
FZ860,8963B5
EK501,896198
QD802,70E057
GS6537,780BB4
HO1252,7810E9
MU2303,78122E
SV983,710103
5J963,758329
TK792,4BAA87
EY267,896325
KU677,706026
CI102,8991B2
9C8671,780B57
NH1711,862A60
VJ415,88811B
EY251,8961EA
GJ8881,781132
KZ168,8478AB
SL727,8832B7
GF271,89405A
8L9695,78095C
XG1651,3C0A46
MU5620,78108C
FD3252,880452
CX465,78018B
8C730,AA292D
PG103,8840EE
BC171,8681B0
EK82,896303
U6651,4242D0
QR1369,06A139
EY57,8961E6
CA810,780314
9W514,800707
NH1271,86D334
NH313,86DA5C
MF8104,780684
LH601,3C4A8B
MF8117,780C7F
SU5450,400166
MU2359,780534
JL290,850E36
VN1370,88809C
SC8749,7BB134
LH726,3C6503
S73270,4242DD
JL3052,8518F2
AK5432,750333
XG3719,3C0A54
AK542,750459
NH292,85E27C
UA955,A2A2E3
SV9063,7100AE
WY115,70C0CD
TK692,4BAA70
TK828,4BAA6A
AI142,800737
NH50,86837C
MU5323,780F2E
AI154,8005ED
CA1207,78027A
BC761,8681BE
CA453,780761
CZ3533,780B14
AK1490,7503C4
ZH9967,780666
LH796,3C4B33
CX932,780ABC
EY15,896327
9C8809,780305
EY613,89629C
BR108,8990B1
EU2205,780EF6
9C8845,780D4B
ZH9114,781284
JL3040,850E14
PG100,8840F4
SC4839,780B6B
SV1947,710118
KZ685,8417BB
7L634,42441F
NH351,85D7C0
HO1078,780589
3U8829,780DDD
WY345,70C0C8
FD3036,880455
TK762,4BA948
9C8831,781084
GK411,84715C
SU500,424304
KE849,71C242
AQ1021,7811A1
MH805,75020A
EK86,896190
IX412,800B9A
EK533,896317
DD8300,881041
JL140,851580
QR426,06A089
MH2802,750200
GJ8888,78125A
CZ6290,781099
SU1428,42491F
EY52,8962E2
TK726,4BB1C4
Z2481,758224
JL2151,84C324
PN6281,781240
CA4187,7811A6
KL878,485785
TK133,4BAAD2
PR2982,758073
SC4753,780578
EY205,8962E3
NH1731,85DEE8
LY17,738073
QW9811,780D15
TU913,02A195
CA8945,780872
NH792,85DB54
8L9940,781050
LJ241,71BD67
VJ121,88814F
JL541,850DAE
UT355,4249C4
MU2077,780D95
GF12,894070
PK890,760999
MF8043,781115
CI110,8991B6
CZ384,78114B
9W597,800B1A
8L9567,780EEB
SQ325,76CEF9
IX350,800395
QR703,06A0FC
CA1879,7BB0DD
EY84,89613E
VN209,8880B3
SV9323,4BBC6C
QR208,06A01B
B6129,7800F5
HX682,780A05
SL800,8832A9
EY281,89642B
SV820,710057
EY242,89637D
AQ1051,781027
LY344,738055
CZ6227,78109C
EY4,896355
QR834,06A077
EU2207,78088F
9C8753,78080D
CX256,780A37
SS775,39C958
EY5,8963CC
OS859,44006E
JD5167,780929
ZE881,71C036
E3747,0C602D
U62904,424931
CA4151,780C9B
EK523,8963DF
TK761,4BB163
PR467,758337
JD5739,7800D5
5J2590,75829C
KE827,71C001
Y87501,780BDE
VN7208,88808C
ST4008,3C09DB
S73276,424558
NH577,8675D8
KE479,71BF82
HU7797,7811F4
TK70,4BA953
EK544,896054
PR453,75831C
MI972,76B4E8
HU6189,7812EA
PN6271,78068F
AF1121,3991E5
CA4193,780010
SU505,42434F
VJ881,888136
UO3052,780A90
CZ6759,79A070
LY562,738065
SU1458,4242EA
SU6980,4248E8
FD101,880847
VN161,88809E
QR1130,06A1E2
NH53,8686AA
MF8393,78110E
JL276,851230
VJ620,888140
MU5177,780FEE
EY22,89612D
KE747,71C027
KU354,706025
TR608,76D241
QR892,06A063
8L9849,780AFD
EK11,8963F4
AF256,394A0A
LY572,738054
TG675,880017
EK21,8960F6
AE1855,8990F5
PA276,5609AE
MF8029,780FA1
MU7337,7800D0
VZ300,885961
EY474,89613B
6E3955,800625
KL891,485342
CZ3197,780DAD
AF487,3991E7
KN5855,781238
NH731,86E518
JH9801,845B9C
AK536,750463
Y87507,7804A1
8L9973,78101D
3K555,76AA69
FZ782,8964D1
MU5318,780CA1
BL793,888045
RS702,71BF90
SV9685,4BBC69
SU262,42454D
FD3160,88084F
6E308,8007B0
MU2143,7805F0
CA1269,7804BF
CZ6337,78088A
AI549,8004D6
NH242,868688
MF8281,7802A0
ME575,748029
U6100,4240FC
EK309,8963EC
IT210,89902C
BK2797,780D43
JL606,851CEC
6E238,8007CC
CI601,8991B3
I5548,800BEA
9C8669,780CE0
SU1964,42458B
SV860,7100C3
CA1573,7803F6
PA470,7609B7
WZ7701,14FA31
CA4343,780CBA
PK226,76099A
G52911,781066
KQ886,04C11B
ME431,748016
MU2567,780E82
PG927,88420D
JD5523,780CF1
EK656,896310
TK702,4BAA46
MU9938,780D1E
BK2893,780F4F
6E765,800C17
PR591,7583A8
JL91,86D68A
AK890,75033C
KL461,48418D
NH460,8674C6
CZ3115,780709
3K511,76AA70
BL782,888147
LH730,3C6707
3U8377,78075E
5J249,7580C5
UU945,3A4494
LH728,3C65AD
WY102,70C0AB
TK60,4BA950
8L9959,78055F
BR170,89906D
NH1747,861FA4
OZ112,71C286
BA124,40058C
TK878,4BB1E1
KE530,71C252
CA4175,780800
MM231,86CE9B
HU7769,780DD2
DD7510,881047
CI7915,8990AD
6E872,800C37
VJ194,888155
NH701,86D6C8
QD681,70E04F
SU330,424343
WY206,70C0C3
HU7322,780459
5J110,7582E4
CA1983,780C46
WY674,70C0CE
QR672,06A070
G8575,80051E
MU5497,78119D
CZ6899,79A053
SV9066,7100AD
HU7488,780D12
CI188,8991AA
9H8391,7811DB
MF8022,781193
ZH9621,781225
5J771,7583E7
SN3292,44CDC2
OK190,49D2FD
FM9339,780981
LY384,738050
8L9633,7810C0
QW9798,780F7D
HD15,8745FF
VJ623,8880F3
JT2632,8A0682
SU1172,424599
EU2306,7810F0
EY228,89643F
FD3226,88044F
QR8636,06A0DF
AI114,8005EF
PG938,884212
EY103,89649E
MU9003,780DE2
HD113,846978
SV116,710061
CA4194,780ACF
U6300,424927
SC8009,78067B
VN211,8880F1
BA257,4007FB
SC8725,780E5A
5J181,7580C6
FD396,880458
FD515,880850
EY658,896255
AH4604,0A0045
VJ782,88811A
MP8562,4841C3
FM9307,7803E6
EY211,896341
EU2235,780832
HO1171,780D91
TK869,4BAA6E
ZH9955,78046B
7C1904,71BA13
BK2787,780701
NH661,8678C0
ZH9003,7802BF
TK68,4BA94B
CA1461,780FDE
JL640,861B28
TW281,71C024
QR970,06A041
FM9189,780D56
9W571,800C53
SU1300,155C14
QW9793,780E33
EK318,8960E6
QR38,06A0F8
KZ159,847183
GK153,841EBC
ZI627,398203
TK376,4BA913
HU7147,7812A1
MU5138,78108A
KU784,706006
G9521,8963CB
EU2258,780EF7
EK530,8963D3
AK504,750410
CA1437,78031E
TK748,4BA92C
QR664,06A136
G9554,896372
VN1621,8880B5
3U8859,7806AA
MM12,86CF45
8L9847,78101E
9H8365,780B98
HX603,780A9E
SV456,7100BB
ZH9411,7811A9
KE621,71BD32
VN208,8880AD
6E128,800C12
MI962,76B4E2
CZ3740,780DAB
EK182,896309
HD118,841E00
3U8657,7809EF
GS7551,780806
6E643,800B73
EY81,8963CF
GF7,89402A
CZ6143,7809B2
JL2001,8511CA
Z27110,75847F
CA1701,780D8B
BC706,8681AE
QR9,06A147
HU7271,78025B
3U8737,780C2F
E4210,4891AD
MF8313,780E44
EY273,89625C
MU2402,780D9B
HU7619,781003
JL688,85120E
EK926,8960D0
MS676,010091
EU2249,780EB6
LJ77,71BF43
AE1819,899046
MU269,780D1D
VZ100,885963
KU417,70605C
SC8764,780BE8
HO1011,780653
LY27,7380C1
JW905,846078
DR6533,780FA3
MF8311,7BB13A
LH8153,3C7069
0B1137,4A0927
BR891,8990D9
AY131,461F52
JL307,868DFC
TK889,4BAAC3
CZ3957,78068A
MF8315,780B40
CA4005,798036
XG4668,3C0A52
BG122,70203F
EK204,896475
QR1407,06A018
MM153,86D2D9
BS322,702077
EK539,89620A
KE603,71BD31
NH1710,861C10
G9440,896382
KU363,70604D
SC8836,78116C
EY246,89627B
9C8859,780BC9
FD3064,880845
MM921,86CE79
QR2,06A078
MU2249,780855
KN5215,781237
CX496,780ABD
FD556,880843
8L9956,780E31
ZH9216,78050B
HO1263,780D90
ID7171,8A0700
BC501,86803E
AZ894,3000C5
AI263,800BE7
VN105,888062
PC825,4B8510
VN1553,888055
SQ890,76CE2C
MU2205,7804B9
7C1102,71C032
NA9100,0101B3
LH680,3C6481
G8302,800C34
QR8663,06A190
ZH9137,780B21
EK384,896482
TK893,4BAAD6
EY286,8961E8
SC4837,780823
JD5577,781134
DR6513,7810CA
UK990,800B24
JH300,841AE0
AI851,800BD4
6E995,800B3A
B3701,680006
9W593,800554
8L9957,780913
EK9962,89616E
EK10,8960F3
VN7216,8880DF
KA857,780195
TK2818,4BAA81
Z2350,758042
VJ212,8880CC
MF8063,781113
FD630,88084C
TK54,4BB141
PS794,5083C9
OM301,4CA350
3U8701,780DDE
TK2707,4BAA59
EK435,896474
MU5422,780FF8
TK160,4BA9D0
QR142,06A0B8
QR59,06A0E0
MI512,76B4F0
FM9302,780483
CA631,78029A
6E133,800689
CI861,8990AB
VJ769,888125
KA937,7801AD
G9407,89638E
EK779,89617F
MU2397,780C03
RU739,4249EA
9W61,800B95
CA8281,7806F9
QF2,7C4921
QR289,06A099
OQ2089,780574
JL3103,851186
3U8865,78067A
3U8947,78112D
CX772,780A94
CA1229,780608
WY811,70C0EE
FM9557,780481
SQ970,76CE94
AK866,75027D
HU6169,780DD4
3U8854,7810D4
6E702,8008C2
6Q211,778825
TK773,4BA930
AK5640,750105
WY412,70C0A2
6E171,503C61
KE697,71BF05
MU719,780502
QR570,06A0A5
VJ651,88813E
EK354,896183
EK420,8960EF
JD5363,780D46
HU7189,78105B
OV254,70C0F4
GY7119,78128F
FD3102,88084A
SC4955,78111C
PR896,758403
EY651,8961EB
KQ117,04C159
MH2505,750236
WE426,88530F
IG3810,345104
AK5231,750146
GT1055,7806C3
CA1893,7808A7
SC4761,7800CC
TK885,4BA912
NH243,86785A
EK76,8960E7
KU285,70605E
EK612,8960CD
KE893,71BF09
CI833,89901F
FZ332,8962AB
5J782,7583D1
OZ727,71BD78
3U8917,780C27
MU2531,781233
9H8411,7811D4
TK2476,4BAA08
MU2793,78071F
TK90,4BA959
CI701,8991B9
FZ778,8962BA
7G74,841EFE
BR192,899063
CA1335,7804EA
TK323,4BAA65
LO6520,48AE00
FD3001,880443
MU2772,7809BC
G9668,89638D
A67127,780423
NX6,780EC2
HO1149,780F09
OZ562,71BF91
TK730,4BA9D2
VJ125,888095
SU525,424345
ZH9222,78083A
SC8794,780AE7
