KE283,71BE10
QR442,06A1E1
LO762,489789
EK88,896197
XY707,42415F
NR183,728633
CZ8483,780293
KU331,706029
3V808,4408FD
QR871,06A139
KU512,70602B
8U421,018070
UL172,773600
H9559,70AA6F
VJ5419,8880EF
IK2704,4242D7
DV734,503C79
AQ1106,780E8C
9C8980,7810E6
DD8727,881059
I51585,800C4C
SC8828,780D5B
VN7264,88808F
QR891,06A019
HU7252,780E96
MU2676,780607
HU7347,780E98
WT7277,4CC505
UQ2530,780ECB
ZE512,71C231
TK2835,4BAA67
Y87504,7804A1
S7892,424130
EY277,89642B
IT216,89902B
CZ6550,7804C5
RJ518,740732
CV733,4D0106
EY227,8963AA
3U8699,78112C
MU2004,780DB7
EK631,89617F
ZF4477,42429F
TK7191,4BA8CB
EK419,8960EE
6E305,503C72
S71149,424048
SU1175,424300
CZ6211,780CCE
PC2384,4B8E10
DD8325,881042
PC1935,4B8E42
7J629,5152EF
6E693,800C17
SC8732,780DE8
PC4580,4B8E0B
SJ1140,8A0545
9C8915,780EDE
MU5618,79A05E
9P1215,744283
MU2362,780936
ZH9518,7806AF
SC8426,7803C5
ET920,040131
CX899,780ABC
DZ6312,781130
KC950,484354
VJ284,888097
TK7207,4BAA03
MH113,750280
NA155,0101B3
NH849,86EF28
7L634,4243C4
TV9846,7808FF
VJ311,5110D4
CZ6962,780804
TK73,4BA94F
9W566,800AFC
HO1317,78042E
9W372,800B1F
EK136,8960DF
BA125,400610
FZ811,89646A
EU2212,781023
KC970,4840DE
RJ128,7415A3
NS3242,78057D
G8451,800549
TW132,71C253
PC2737,4B8530
CZ6750,780F14
CX52,780A70
HX77,780A6D
WY695,70C0A2
CA1821,7805B1
GS7464,780E9D
HU469,7812A1
MU9742,78066C
TK2038,4BAAA9
NH843,86E888
HU7622,780FFF
SG424,800BDC
SQ601,76CEF6
JD5714,78002F
VJ864,888127
K6960,70E048
CX40,780218
DF519,780837
FX90,ABB6B5
TK2853,4BAA0F
MU736,780D9E
EK148,896189
9W363,800C1D
MU5093,780853
ZF7802,4243BC
8Q63,4BBDD3
IK2453,4242A7
GA892,8A0536
5J982,758226
MU748,780F6D
GT1012,7806C3
QR207,06A09B
MT885,406D37
QR859,06A2AF
PC2467,4B8C6A
BR25,89900E
LJ62,71BD59
9W574,800AFB
TK7238,4BCC53
QR492,06A1DF
HU6025,780E2B
HU7876,7805A8
CZ6531,780767
SU6561,424913
HO1654,780EE5
BL485,8880C3
GS7888,781322
OQ2330,780B89
PC2557,4B9063
PN6223,781038
K6957,70E049
CZ6978,78125E
ST6002,3C5CB5
MF857,78110E
HO1126,78009C
NH818,86D98E
NH8499,861B47
TK91,4BA952
EY279,8962E2
CZ6089,780261
5X4,A2E9CC
ME368,500058
ZF1627,424561
SQ468,76CE96
TK65,4BA9CC
SG16,4B8DF2
6E5405,800B12
JL726,86E496
3U8202,7803E3
6E459,800AF1
MH66,75025D
WY325,70C0A9
JD5181,7800D5
BL527,88803B
MU5125,7800F4
CI7,899018
LX1327,4B18F2
KL427,4851B0
U6142,4242F6
XQ7712,4BCDE3
TG640,885041
ZE592,71C036
IK2448,42495B
5X118,A4080C
JD5278,7804D7
G8643,800C60
SG846,80074D
BR6535,89908C
TK2467,4BAA46
EK515,89621B
EY223,89643F
6E648,800466
MF8675,780E4B
MU5160,781105
8L9880,781051
GA970,8A03C3
CA824,780299
TK7042,4BCDD5
FV5696,4242D8
MU5472,780602
TW308,71C000
DR6538,780FA3
BR35,899032
FZ882,89632E
EK389,8963DA
MF830,780D76
6E73,800688
UK981,800B71
N4228,4B842C
MU5035,780556
SQ378,76CDA9
TK7262,4BA8D2
DD7117,88104B
SG61,8001D9
EK323,8960ED
5X81,A260BC
EY237,896255
AT216,020123
XY567,4241EA
KL856,48455F
GA985,8A003C
BL612,8880EC
I51563,800BE9
AI22,800414
W580,7335B1
U21975,406229
UW9941,798006
XY265,424792
SC4962,780B08
5J371,758324
EK307,896196
FZ631,8962C0
JL728,86D974
LH694,3C648A
CA715,78090E
3U8046,79803F
9W621,800AFA
AQ1034,780E8B
MU5834,780E80
PC2093,4B8490
CI11,89901A
9C8680,78060C
S7896,4249E1
KU361,70604E
IA112,728674
6E505,800626
EK56,8963F4
LH580,3C666C
Q2378,05A05D
CI31,89900F
RU236,4243C1
PC2407,4BB84E
IK2499,424266
6E6246,800BE0
UO624,780AC6
EK16,8960F4
XY301,42416C
HO1345,780975
Y71022,42411D
BA34,406F72
SV1434,7100C1
SV3347,710048
BR10,899037
S732,42404C
AK73,7503C8
9W477,8007C3
W51055,7035D4
Y97015,742834
CA1346,781160
J9608,70620F
FD584,880858
6E961,80054C
HU7311,780EA8
MU2952,780AD5
NH850,86EE7E
CZ6349,78109C
ET850,04004A
EK18,8960EC
6H704,738284
UO763,780A8C
ET873,040140
6E564,800627
EK9885,89616B
6E909,800BB7
SL8027,88328A
EY656,896346
3U604,780CF0
MU5768,780DB6
QR134,06A09C
AI474,800589
MH88,75025C
9W424,800C54
QR1088,06A137
UK814,800BD2
PK372,760996
ET808,04012A
ET818,04005D
SV1044,710121
SU524,424343
LY312,73806A
D7377,7503A9
FX5280,ABAF47
SV535,71008D
BA73,406F7A
AL402,0101C3
BK2780,780E01
EY867,89648A
9C8752,78080E
KE652,71BE21
CA1754,7810B9
KC103,484346
QR528,06A047
ET365,04012E
MU2936,78064C
CX50,780217
JD5566,781299
BR26,899080
6E755,8007CA
HO1319,780977
CZ3107,7808AF
IX346,800B9E
AH4633,0A0046
TK2677,4BA8F9
TK459,4BA9E6
XY34,424156
SQ825,76CF29
9W487,80015D
CZ3165,7802AD
6E6162,800C36
ZO4008,736834
SG912,800B81
SV1433,7100BE
TI5075,4BD181
CI2,899128
TK27,4BB149
VJ880,888041
EK36,89631B
GS7866,780D33
5B864,70E034
SA287,00B1F4
ZA246,70E05C
BR15,8990D6
AI191,800463
Z2774,758233
GF63,89405A
FM9554,780118
VN7228,88808C
SU6354,4CAAAE
6E902,800C15
SG612,80067F
MS788,0101B8
VN7296,8880C5
KY8282,781245
TK5145,4BA9ED
6E234,800C16
GX8894,781206
SQ2,76CEEE
CX883,780221
QR498,06A060
AK5133,7502CA
SV334,710084
7C2306,71C297
ZH9430,781284
6E519,800B11
TK7272,4BA8DA
QF10,7C4920
DD9411,881057
ET3739,04008A
U8142,4C8066
LO677,489785
FD3430,880452
KU381,70604F
6E224,800C37
BR17,899040
BA32,40688B
CZ3962,780C77
ZE922,71C052
WY653,70C0AF
VJ522,88811C
EK547,8963D5
NH8552,8686AA
FD533,880845
EK162,8963E2
U22565,4070CC
CZ6158,7805F7
MT993,406AE0
UK988,800C0C
MU778,780ADA
CA1876,780C42
9W562,800554
CX42,780219
BR9,89900D
8L9870,780C19
6W764,424577
3U8766,78112A
7W7958,50822E
NH8551,868732
RJ731,7415A8
ZH9164,7802BF
ZF9633,424324
AI774,8004FD
ZH9569,781005
FZ441,8963B3
AK63,7503B3
TG225,885046
3U8550,780DDD
UL605,773800
ME402,50005B
ET915,040125
CI63,89912E
EK9708,89616E
6E127,800629
KE624,71BD33
AI93,800521
8Y600,758505
EY203,896328
IK184,4243F4
IR485,7324A2
QR655,06A044
SV1124,7100B5
HY502,507C46
CA805,78115A
UA116,A0E6C6
SU6121,4243D4
6E867,800BDF
7L9432,600BBE
I35681,735027
MU543,780B34
EK529,8960D4
3U8844,780F32
OZ987,71BC15
6E488,800B96
AY132,461F4F
S24493,8001FE
GT1084,78119F
QR958,06A0B1
CX829,780A67
QR8952,06A081
JQ68,7C6BC3
QR3472,06A08F
PC3014,4BA74A
PC2019,4B8E0E
9W456,80067D
TG931,8852A3
9W312,8000FE
HU7068,780739
5J310,7582E3
4G9676,155BC6
EP559,730609
6E359,800716
FZ751,896376
NH856,86EAEA
EK367,8960F3
GT1072,78053A
ZA493,E47E75
FX6018,A022EE
5J582,7580C6
EK210,896110
FD2102,88084E
AI609,8004BD
BR31,8990E1
CX251,780A61
LX179,4B1918
PN6372,780BA6
LO155,48AE80
QR274,06A07B
CX260,780A3B
SQ495,76CEF9
DD3183,881051
3V849,4408F4
QR1408,06A042
LJ72,71BF34
9W495,8001D0
2P9746,758203
SG328,8003AD
6E742,800596
U28965,406FD8
MI937,76B4E8
VJ221,8880DC
QR1427,06A095
NX881,780345
VJ358,8880F5
FX5960,A02CB5
QR1380,06A030
9W628,800505
TR518,76D244
CV870,4D0102
FD3016,88044A
NX897,7811D8
XY45,42417F
IA445,728668
SQ26,76CD70
NZ91,C81885
EK184,8964A1
CZ3434,7804A8
KE628,71BF83
6E6313,8007CC
MU735,780F3A
BR16,8990D8
CA975,78100A
ME437,748027
G8394,8007F6
KE672,71BE33
AH4630,0A0045
6Q562,778827
CZ6190,780DAF
G8278,800C05
AK69,7503BE
QR824,06A024
HU7922,781002
9W584,800556
ET335,040104
MU5492,78055C
QR844,06A01E
N4134,42434E
MU5840,780638
QR260,06A061
TK694,4BAA50
6E6729,800B38
BR11,8990D5
9W564,800B65
WY676,70C0DC
9W847,80071E
SQ403,76CD66
SV807,7100C3
MU5082,7809BB
MI957,76CD8C
CZ6057,78062E
5J75,758225
VN561,8880F0
RJ812,740736
VN31,888124
A4212,155BFD
HO1326,7800D9
CA1550,780D80
SV1665,71011F
QR103,06A104
BA28,4065DE
ZO4013,736838
TK61,4BA94D
6E665,800B92
HX761,780AC7
MS956,01012A
HU7112,7BE012
G9512,8962D0
CX101,780A8D
9W251,800707
EK655,89620E
MU5758,781213
QR160,06A0B6
TK354,4BAAC4
PG733,8840F6
OV6,70C0F5
RL8858,4243ED
VJ3347,888137
G8804,800C34
O36871,780F71
BA16,40621D
DR6516,780035
ZH9015,780BEC
9C8973,780CE0
SL767,8832A9
ME422,748021
MS621,01010D
S735,4240CD
CI61,89901F
CI8,899019
6E248,800628
TG682,885171
SC8724,780B6B
6E221,800C6C
SV573,7103F3
XY720,424178
TG658,88002D
3U8925,780809
CA772,780276
SC4714,780B05
SV3461,4BBC65
PC2795,4B8E01
MU7135,781236
DV731,6831D3
CI52,899000
CZ453,780DA9
FD597,880442
6E1401,800B14
JD5352,780C0A
LH731,3C6703
PN6242,780F51
MU739,781102
NH832,861BCA
AI997,8003E6
PC3110,4B8510
8L9946,780567
EY253,8962E5
MU2719,780B26
TK2685,4BAA10
AI668,80051F
SV1045,7100B7
AF257,3965A2
NL441,76098A
AY161,461F4C
CZ618,780B11
PR484,758338
AK175,750419
SG87,800BC6
UO614,780AC4
CA1856,780FDE
PR8399,758303
EK327,8960D6
SV1229,7100A6
JD5677,7806BE
QR218,06A088
VN37,88812D
ER505,7609C4
JT105,8A06B5
MU514,780FF8
CZ8449,7802F2
PR655,758308
5X1,A771A8
EK773,89611A
7C2251,71C050
CZ6447,780DAC
KC342,48411E
G8148,800C61
HU7780,780707
EY421,89612B
MU2570,780F6C
IT8308,899027
MI413,76B4ED
6E3794,800C73
OZ704,71BF32
OD181,7502D8
HA897,A47D69
5X3,A2BADF
EK363,896180
AF293,394A15
AI490,800040
EK335,8963D6
WY706,70C054
CA1713,780D89
AI50,800400
CZ8441,780B0E
VS207,406E0F
HU7702,781060
SQ322,76CD68
AI173,800C08
RL7771,42459B
W54593,7335C9
WY661,70C0F0
CA782,78037B
U67084,42496C
8L9986,780C72
AI632,80053F
GF135,894076
BL171,888145
0B137,4A09A3
QR200,06A02D
SU1127,424340
6E118,800602
MU5159,780CAA
CI3,89901B
SQ324,76CDA6
LH727,3C6501
S7256,424412
MI487,76B4E4
U6846,424617
PK239,760999
TK7332,4BA8D9
CA970,781009
TG339,880019
I36603,735024
SV816,710057
KL810,48436A
TK85,4BB14B
KC856,48435A
XQ9331,4BCDCF
CZ3035,780CCC
CZ6539,7802D8
G8396,800C77
9W665,80072C
MH2,750291
MU5710,7812F4
TG975,885153
EK9837,896228
MU553,7808E6
SQ638,76CEE9
K49436,A9FDEB
9C8692,780D4B
5J39,75836B
VJ778,88814F
UA37,A2CB14
JD5628,780EC6
VN7295,88812C
MU2198,780D1D
9W928,800555
ET3729,040060
N4226,424240
HY552,507C48
9W829,8007C4
MU2061,79A03E
9W384,800C80
ET605,040066
FD3420,88085A
TK667,4BAB27
9C8971,780083
PC2020,4B9067
FX96,ABD30F
CA1496,780F64
EK140,8963F5
NH203,869166
DP187,4243F1
PR466,75831E
WE696,88530E
QR126,06A041
EK28,896318
BR27,899036
CI4,899020
QR774,06A07D
EK40,896484
CX105,780AAC
KL808,484371
LH779,3C65AC
FM9130,78005D
UL104,770590
6E173,800C74
KL894,485343
NH8520,861B20
SL8522,88329A
TK676,4BAAC1
SQ336,76CEF2
HU7612,7808A0
CI5871,899106
KE249,71C252
I51531,800B40
H9555,70AA79
6E607,8006E1
FZ212,896379
AC16,C0171A
QR506,06A02B
U62909,4249CD
AI438,800B44
QR128,06A0A6
MU2928,78086F
HU7880,7812A2
MU5190,780D96
QR536,06A017
6E278,800C01
TR589,76D249
9W550,80065E
KE26,71C009
RU392,424975
OV16,70C0F4
QR292,06A098
HU7930,7BE013
SV705,710053
HY18,507C41
CA1882,780425
NL145,7609CD
ME313,5000B3
HU7810,7806B5
SV561,7100BD
PN6350,780F52
MU9916,780D1B
MU555,78064F
HU6171,7800D8
CX880,780A3A
SU504,4248F7
SV1251,710132
FM9560,780483
VN19,88813A
PK307,7608FA
MU298,780F3C
KE112,71C027
RJ167,7415A4
CA9604,7BB0DE
SQ362,76CDA8
OZ326,71C257
3U8536,78107B
BL194,888144
3U8990,7806CA
G8428,800C69
TK7087,4BCC6C
5Y8013,A5CD55
SC4872,780F68
T5250,60183D
HZ135,A078D0
MU7652,780DB9
RJ505,740737
IR468,7324C1
TK2419,4BAACC
SG928,800BC9
CZ8516,7802C1
FM866,78124C
FV5883,4CA8C4
VJ926,88811B
FM836,780C62
PC2862,4BB84F
3U8108,780734
OZ626,71BD15
BK2867,78127B
J28077,60084F
6E728,800BF5
QR8974,06A1A4
NP107,010116
QR842,06A136
HU6257,780FFE
SU509,4249DA
MB6121,4BB465
EK2,896191
SU6154,4248E9
NA20,010140
XY412,4241DA
VJ962,888140
PC1883,4B86D0
XQ9395,4BCCA9
J2810,600803
QR146,06A043
Q9136,502CB2
6E62,800BBF
VJ245,888126
CA962,780274
6E86,800B2B
PA872,761487
EY871,896409
6E825,8007B3
LH8368,3C7062
SU5653,4240E1
UL867,77058C
TK2009,4BAAD4
BA119,4007EC
CA1062,7BC009
PR510,7583A8
S24417,800173
SQ328,76CDA3
D7347,7503AE
QF108,7C5320
ES221,894089
MU5848,780ADD
6E736,800B39
TG622,88003D
MF8429,780795
UA890,A2A3AF
CZ302,78114A
ET3713,04008D
6E273,80071A
TK603,4BAB23
OD185,7503DF
9W502,800C76
UL144,7705C5
QR572,06A2B3
HH6276,6010BB
6E587,80068D
FU6600,781174
SC8770,780576
SG159,8005D5
UL109,77044D
8Q16,4BBDCA
TK5460,4BAA49
EK186,896316
XY253,42415A
JL718,86D9DA
S24330,800606
EK876,896113
PC2022,4B8750
SG154,8005D6
TV9883,7809D1
VJ286,8880C8
TG331,885225
KU786,70605A
OZ324,71C267
TK2707,4BA8F5
HU7881,780CB4
MU219,7809B8
PN6298,780CC8
HY38,507C3D
XT401,8A04E0
G8118,800C06
WY624,70C09E
EK74,896184
QR40,06A149
OD601,7503D9
9W518,800B1D
SQ801,76CF2A
9W558,8001CE
GF767,89402E
8L9678,780C73
CV810,4D0116
UL869,77058D
PR488,758384
BA263,4005C1
CA1402,780F1C
QR662,06A094
S7162,424583
SV126,710060
ZE942,71C058
CI53,8991AB
S7876,4242ED
CA996,780AE6
JL79,86D90E
CX271,780A35
TK2249,4BA8D6
MU597,780D23
FD3024,880853
HY534,507C4B
AI839,8004D5
TK7318,4BCC4A
SV170,710070
6E155,800BB5
AA193,A9A750
CA968,7809A5
MU7605,780CD7
EK977,896219
MU2487,7802DB
6E385,800C11
XJ600,886283
ET834,040078
CA1466,7805A0
PS5022,5082F0
DZ6244,7802EC
BR672,899121
CA738,780275
BS307,702075
S71166,42404E
CA1708,780D8B
KU564,706025
FM9588,7800F6
MU2810,780CDB
FZ64,8962B7
S71144,424925
IX540,80044B
SQ608,76CE95
CA165,780DFE
UK868,800B6F
CX138,780A62
PC3169,4BA749
QR132,06A04D
CA989,78076E
TR867,76BCC1
MU544,7807D5
UK992,800C3C
F3263,710129
TK2661,4BA8E4
5F134,504E4B
6E706,800C12
QR500,06A0B9
MU5726,781019
HY605,507C3F
AI683,8004D6
SU1249,4242EB
GS7856,780C82
MU2498,780FC0
LY571,738055
PC2095,4B8E0C
AI130,8005EC
IX687,8003F3
CA1504,780CC0
OZ756,71C258
O36909,780E9C
7C3105,71C020
FU6508,780F5A
EK393,89630A
EK142,89618D
SL8050,883289
KQ310,04C147
9W492,80015E
3S591,3C4584
J9554,70620D
6E539,800601
AI854,800441
FD497,880844
VJ645,888134
ZO4072,73682C
NZ289,C820D4
QR1352,06A029
KE680,71BD25
QR1136,06A071
UX957,344297
CZ3886,780BD0
GF68,89405D
NH105,869254
TK7109,4BA8C4
CX412,78018D
IV48,508209
PS6881,5082EF
TK7066,4BCC66
HB802,880422
VN408,888138
HU7781,78105B
6E85,80064F
DP113,4343C9
SU6372,4242A6
AI540,80058A
KE668,71BD51
QR972,06A0A9
XY208,424189
SU6332,4242C6
LH8387,3C70C2
VN501,88804D
GF566,89406E
U67710,4245AD
BG125,345310
OZ742,71BF92
6E445,8007CD
8L854,781050
WY921,70C0BC
GJ8772,780FE4
9W2574,8001D2
MM809,86D251
AF1060,3991E6
B2956,51009C
GJ8924,780E55
PA205,761488
O36975,781140
SV551,710107
CI32,8990F3
CZ331,78030E
B2775,51004E
FH9146,4B9856
UL281,773500
EK60,896111
6E779,800686
6E767,800717
HX602,780A44
CI51,899160
CX889,780A8A
HU7264,780D11
CX383,780212
PC2383,4B8E16
FM9506,780D55
CX748,780A2D
HU7916,781003
DR6560,7810CD
FM9107,780F95
MU712,780BFF
IX614,800B99
TK2227,4BAA4A
JL70,86D68A
CZ305,780F15
BR316,8990CC
JT2742,8A031F
TK774,4BAACF
PS537,5082E6
VJ177,8880F4
TK7033,4BCC2A
TK606,4BAB26
KE632,71C001
S73211,4242EC
6E362,800718
AI101,800582
5J679,758228
I5735,800C29
CX261,780202
PC2373,4B842F
G8504,800BFD
A9696,51407D
ME503,748050
SV1550,71008A
AF662,394A07
TK7146,4BA8CE
8L9754,78101D
A4202,155BCC
TK370,4BA930
6E336,800B74
VN277,8880E5
CZ347,780643
MU779,7804A7
NR124,742830
SV305,7100B8
EY307,89625A
SV1125,71018A
QR632,06A02C
MU5023,7805D9
PK312,7608F9
7C4304,71C263
Z92013,683221
EK924,8960D1
9C8516,7802BA
TK7435,4BA8C3
6E387,800B3A
TK21,4BA947
BZ201,800B05
TK2636,4BAAA7
EK381,896474
KQ113,04C11A
RS101,71BF90
QR194,06A0F6
E5554,8962D1
BR51,899030
VJ247,4B9902
9W540,8001CC
MS712,01010C
6E565,800C72
6E511,800468
FZ735,896377
PC2705,4BB84B
TR109,76D248
MU740,780DA0
OS26,4406DE
TK2611,4BAAC7
HX773,780AAE
KE720,71C227
TK6376,4BB14D
QR828,06A0BD
EY20,896463
SM212,010194
G8714,80052A
SC8835,781119
AI945,800401
B2767,51009A
EK758,89631C
CA809,780298
EK955,8960DC
Y97130,5083C4
KE542,71C005
CZ3068,78007C
YE5016,508380
CI5927,899112
SV1908,710088
EY201,896241
UA158,AA7426
VJ8375,88813D
A9927,51408C
OD165,75041D
KE86,71BE30
DD7525,881055
ES822,89408A
VJ176,88803E
XY38,424793
TK335,4BAA63
6E198,80054E
S71028,4243CB
QR881,06A049
W578,7335B2
SL8037,883029
3U8366,780DDF
ET607,040065
FU6534,781035
PC1862,4B84B0
QR1081,06A0B3
MU578,781100
MT743,4008E1
VN346,888099
Z236,75833E
A67102,780EF3
PC2827,4BB84A
QR270,06A02E
I5587,800B8C
TK760,4BB161
FZ764,8963B9
ME212,748019
HO1251,78124E
CX233,780A8B
QR929,06A13A
PS781,50837A
SV1046,710122
FD120,88044F
S24495,8001E6
OM702,4CA350
OZ746,71C286
EK542,89617C
TK868,4BAA81
OZ203,71BE40
G8393,800435
RQ9,700029
RJ405,74072D
TK69,4BA94B
UK950,800B26
AK532,750410
VN416,888123
JI2820,730548
S7626,424558
HU7602,780FF1
QR8982,06A1E6
ZF6304,424281
JT2725,8A02A7
TG313,88001C
PS783,50837C
GJ8010,781196
PN6260,780AFF
QR4,06A144
SV1047,710120
W550,733588
ER525,7609C1
6E103,800C63
UT448,4242AF
KE12,71BE14
VN463,888023
ET307,040124
EY351,896325
SG126,800AF7
WE681,885311
GA981,8A0537
FZ574,89637B
UT396,42455E
FM9807,780F93
G8106,800701
QB2272,731A32
MU5712,780457
U22134,406441
QR150,06A053
VJ839,8880D9
SV1551,7100B1
EK349,8960D8
EY219,896397
CZ306,780E06
VJ646,8880CC
6E506,800BC0
UT587,42410A
CA1938,7808C6
QR815,06A0FC
EK859,896118
TK2833,4BA904
IX343,800B9A
OD553,7502C3
G9402,89638E
3U8700,78068B
LH714,3C6705
KE690,71C211
MS633,010108
AH4064,0A0049
WY294,70C0F1
TG650,885047
UT358,4240EB
PR423,758306
QB1206,731A29
LX139,4B191A
D7506,750073
BY652,400757
HU7907,780C48
MU9704,780650
6E66,800C40
KK1001,4B8692
8L9974,78101F
EK122,8960D7
HO1330,780EE4
JL752,86DA1E
WY707,70C0E1
AY100,461F4A
CA950,780AD2
IX452,80044E
TK140,4BAA87
CX675,780AA2
G9251,8964D9
9W572,80015A
AF1620,3991E0
VJ647,4B9919
QR68,06A1C0
RJ552,740733
TG644,880041
CZ8309,780998
TG920,8852A1
QR1400,06A04B
W51037,7335CC
TK2421,4BAAD6
PS85,5082E8
CA798,78029C
CZ645,780BA2
U62427,4249CC
LJ58,71BD57
W51195,7335CF
JD5578,780CF1
6E232,800BB4
VJ173,8880AF
BA9,4007ED
CF9032,78052B
AI334,800C42
WY926,70C0B0
QR516,06A04C
VJ5269,888135
SU6314,4242A5
FB364,451D8C
GA88,8A03A6
TK7287,4BCC2B
FX5219,A76535
WY677,70C0C1
6E704,80068E
PC2096,4BB846
AF381,394A14
OD8107,750403
QR418,06A09E
QR421,06A1BD
EK804,8960E5
EK343,896480
VJ172,888156
MM899,86CF01
SU1363,155BC4
SU1215,424356
TG642,885104
9W510,800B1C
JP922,506C35
6S507,710029
CX343,780AA3
UT524,4249E0
KE472,71BD86
5J502,7582E6
WY673,70C0EE
TR898,76BD45
TG670,887802
TK7631,4BA8E6
EK110,896217
8L9652,78095C
TG656,88003F
NX826,780D4A
VN320,888129
KQ211,04C14A
AK2139,750323
BA277,406A9D
AI14,800579
DD3151,881047
RL8578,42459A
MU2868,7804B5
TG674,880051
HO1229,7806E4
9W310,8007C0
FD154,880855
AI985,800440
PS55,5081E7
TK2015,4BAA90
XQ9271,4BCCB0
ZO4056,73682A
FZ715,8963B1
EY887,896465
JD460,781134
CI9,89901C
MH197,75021B
SU6896,42427A
MS966,0101BC
PK319,760984
CX698,780192
QR918,06A01F
XJ760,886281
VN422,888081
PC3015,4BA74A
VJ223,8880CD
G8511,800B0B
SL752,883028
SU1161,424336
QR875,06A146
SQ800,76CEE2
FZ329,89646B
6E289,800B75
TK2930,4BAA14
RJ741,740734
G9124,896382
HU7178,78105E
QR578,06A031
E45204,4891B8
PR105,75827B
MU772,780D22
EK192,89620B
7C2502,71C032
KE608,71C218
IX538,8003B3
BA663,40041B
PN6358,780EF2
5J187,758329
AY144,461F08
IR714,732443
CZ617,780BA3
LH773,3C65AD
KY8274,780FBB
DP856,42436A
SU207,424575
CX881,780A18
QR908,06A148
5J548,758229
O36913,7810A9
PC8181,4B85D0
TK7296,4BCC56
EK954,89611E
CA964,78103B
GF270,894061
Z92215,68323E
6E116,80071C
PS373,508302
CX872,780204
QR914,06A0FD
GA89,8A03A5
CA907,780FDB
FZ439,8962BF
QR895,06A19E
G9532,896365
Z2232,75853A
SQ306,76CEE1
UT494,4248DF
S798,42404D
TR897,76BD41
SC8885,780DEB
ZA211,70E03C
MI467,76B4F0
TK7409,4BCDC7
EK352,89644C
AK22,750105
KA103,780A82
XY111,42479D
QR942,06A106
SV805,710055
IA202,728641
PC1934,4B8650
PR685,75833B
PK213,760995
5J561,758088
6S644,424790
MS856,01002C
TG483,885222
CX749,780A9C
PC2533,4B8E07
BK2990,7810B6
QV915,708026
SU1863,42432C
CA906,78031F
XQ9307,4BCDE2
TK7014,4BA8D4
XY232,42417D
ES162,89407D
QR620,06A0AA
NS3270,780C0D
KE464,71BF10
OZ734,71C293
RS502,71C281
QR28,06A0C2
ZE502,71C035
AK46,75033C
W62490,471F8D
F3114,710128
GA861,8A0242
TW138,71C024
ZA213,70E05B
QR258,06A016
7R222,424269
CZ308,780748
SU1631,4242C2
SU1303,4249B2
HU7934,F80DD6
LJ38,71BD64
PR103,7584F9
FV5876,4CA9B5
G8426,800C7A
LJ64,71BD62
SC8744,780F66
SL8043,883299
SV236,7100AD
PC785,4B8E12
2P2483,75808C
6E947,800B58
CZ456,7804C7
MS758,0101B6
FZ877,896378
CX219,780AA5
CA984,78076C
6E977,800C71
QV921,70801C
EK734,89630F
NH804,86D9F4
VN18,8880E6
PC2828,4B906C
MS702,010160
7C3451,71C063
RS532,71BA12
9C8656,780F04
9W304,8007C5
PR486,758404
PC2525,4B9066
S71152,4240CF
GA876,8A02D4
VN300,8880F7
CX379,780AAD
3Z7605,505E67
CI5835,89911E
7C2108,71C088
KU301,706050
RA239,70AFB7
3U8824,780CEA
NL701,76098E
GK94,8474F0
PC2026,4BB847
G8633,800C68
QR968,06A0B7
VN330,8880E3
CX714,7801AF
GJ8690,78125B
TR868,76BCC2
SU232,424569
MU5656,78119C
SQ672,76CE81
KY8298,780966
WY821,70C0C6
IX212,800396
H9565,70AA67
HU7920,780B5F
U21976,406229
MH80,75020F
PK759,7609A7
CI6872,89911C
G8996,800BF3
VJ181,8880B6
UT274,4249AB
CA457,780DFD
PC2021,4B9067
PC2739,4B8435
SU1107,424319
DP522,424368
AI380,80073F
CI54,8991AD
SV840,71011D
J29225,600841
ET673,040048
7W7062,50822F
MU2067,78078D
KL875,4850F6
CO724,4C8060
SQ618,76CE64
SV1801,71008C
PK241,76099A
VN310,88812A
SQ826,76CF28
SC4891,78111A
KY8302,780BFD
6E6236,800B73
WY239,70C0A8
TK2830,4BA9AA
OD272,7502C5
CX255,78023C
IX684,800395
EY274,8961EB
CA967,780B46
TK720,4BB162
NE111,01017B
CZ6041,7802AB
G9463,896486
AF107,3949EC
ET846,040032
SQ503,76CE2A
PO214,ABC5B8
SG926,4BD155
EK925,89644A
QR548,06A090
U22086,4073A1
3V801,4408FF
QR8111,06A0DE
A3908,4690EE
G9471,8963BF
E5338,01013B
EK603,8960CD
XY449,424187
TK567,4BAB25
PS271,50824F
PC2558,4B9063
MI977,76B4E9
TK7239,4BCC53
EY402,896326
A3909,4690EF
UT268,424905
SU6103,4248E4
ZO4026,736836
TG465,885103
TK2039,4BAAA9
EK509,896210
TK7116,4BA8C7
JL42,86D9FC
SQ352,76CEE6
IA1182,728669
MU5180,7805A3
CX524,780173
VJ359,8880F5
TK156,4BAAC3
MH62,750221
FZ983,8962BE
9W532,800506
GF154,89402D
SV635,7100A7
9W598,80065D
TG940,885107
SG679,800BCE
F3273,710127
EK395,896304
6E625,8005DD
NH808,86DA38
T53226,60185A
QR285,06A092
5J590,75816E
BR677,8990C1
SU6146,424964
G8525,800BF8
BX722,71C213
6E175,800C10
BA35,406F76
EK568,89620F
TK6549,4BA9F5
PC702,4B8E0A
BX712,71BF61
QU4440,5083C5
TR116,76D257
VN350,888063
8K804,882DA1
G8122,800BB9
