TK160,4BA9CD
TK7113,4BCC53
MH388,750259
P78053,489C16
KA810,780128
I5783,800B43
TK7199,4BCC2A
CZ8549,780BCA
UK815,800B24
GS7965,7810C7
9W519,8006FA
UT580,424904
AK204,750466
7C1101,71C260
DL158,A6456D
3U8553,7810D2
JL575,851826
MU2787,7802B1
KC907,4844B7
SQ671,76CE69
VJ450,8880E9
DD9403,881055
U62989,424562
CA453,7804CC
MI361,76CC48
KC851,48435A
TG304,885041
JD5191,780B6F
KB401,680002
5J227,758225
CZ6949,7812DB
BX115,71BF13
SL399,8832B0
TR899,76BD46
UK747,800B4B
S24621,80016E
TV9815,780DB4
HU746,780D63
EK161,8960CC
NH935,861EB4
JL32,86D90E
7L43,4243C3
HU6235,78105C
CA4512,78068D
SU1284,4243EE
DL275,A64CDB
NH3770,86CEA3
U62970,42441B
EY912,896441
MM726,86D2FB
IX443,80044A
CA4252,780066
VJ767,8880B6
QZ154,8A02CB
IX685,800B9B
SJ1184,8A0545
TK737,4BA999
CA953,780E21
CZ3404,780F77
VN512,8880E3
DY7206,47902F
SC1182,780F68
TK793,4BAA74
6E502,8007B2
AI604,800BFA
AZ809,300065
JW913,846078
9W336,800AF9
3U8918,780CEF
3U8953,781077
RU9064,42431B
AK5879,750457
NH842,86EEE4
CK213,78071C
KE880,71C247
MM177,86CF89
KE122,71BE22
NH1173,86CFA0
CZ6973,780DAE
SL703,883289
Z2241,758044
6E6523,80071C
9C8743,780713
AI460,800412
CA4188,780526
G8395,800701
EK345,8963D4
KN2385,781237
PO237,ABB325
IX383,8003B3
9C8928,780CE1
AI235,80057C
AK838,750288
KE660,71BD40
AY42,461F52
AI143,800B62
JL659,851BDC
SV1511,710081
9W406,800C53
DV465,503C5F
CX475,780ABC
Y87490,780493
FD330,88044F
TV9881,780BE0
KC307,48433C
CA130,780D7F
JL12,86DCA2
BR181,8990B2
AK183,75043C
9C8810,780C06
BC173,8681B9
DL159,A64924
NH776,8687BC
CA733,78086A
SG946,8006FC
6E782,800629
MU5178,780FEE
ZH9791,780B8D
VN257,8880E1
9W355,800B1B
BR138,8990B3
3U8873,780B67
OZ3365,71C279
FM9382,780585
MH2661,75020A
LY802,A96B14
EU2249,780D5E
9C8918,780DC5
KE94,71C041
UA903,A1D546
MF8073,780EAD
TG668,88002D
WE281,885307
CZ8327,781129
JL668,85151A
ZH9607,78007A
BC504,8681BA
NH8501,86D9AE
VN1550,888063
AI560,80057D
NX601,780E36
5J5055,7582E4
PA401,7609B7
ZH9618,7808B5
ZE612,71C231
MF8229,7805D5
SC8871,780FF6
8L9706,780567
NV2516,508389
AK733,75002C
JL44,8682DA
WY372,70C0A2
MU5739,780B18
ZH9209,7804F3
MU2870,79A074
EK805,896459
NL729,7609AB
CA1498,7807CB
PR2813,7583AE
HO1164,780F35
MF865,780BC6
CX536,780A98
FD358,88044E
UA8,A2A2E3
JT2630,8A0680
ER520,7609C4
AI665,800440
AI440,80057B
IB6888,34520F
6E854,800BC0
SL824,8832B1
KE698,71BF06
SG813,8003AD
KA804,780162
BR798,89906E
PC2743,4BB847
TW246,71C067
JL2205,84C586
SV941,4B8467
PG272,8840F5
SC4975,780B07
MU237,780CA1
TK899,4BA919
JL2084,868690
TU6006,02A194
DV453,68322C
CX386,78018E
MF8101,780C80
CZ6350,780591
HY333,507C4C
G9555,896372
W51031,7035D4
6E63,8007DD
CZ614,798042
JL280,851BBA
JD5531,780FA4
VZ305,885963
CA151,7808AB
JL43,867FF0
AA281,AB3FC4
AI102,8004DF
TK721,4BB161
JL413,86E474
8L9623,780C72
TR101,76BCCA
SV365,71040D
TK713,4BA9DA
FD761,880C45
HD21,846D0C
6E599,800B37
BC713,86803E
CZ3169,7BB0EA
VJ303,888142
PR454,7582F6
CA985,780022
VN404,8880B5
G9181,8963BD
9C8601,7810D7
CZ8255,79802D
UK970,800B71
9C8883,7807B1
NH956,862226
TK2023,4BAA52
6E226,80051B
PG275,884202
G8423,800549
5J703,758109
FD303,880847
FU6555,780EEE
CZ6511,780627
NH554,8675B4
G8465,800BF8
JL712,8674CE
3U8857,780510
CZ6953,79803C
KQ305,04C117
KE724,71BE42
NH775,85C5DC
CI167,8990AB
VN651,888093
ZH9412,780B21
SC8843,780295
SU1562,42442A
AY102,461F4B
SC8726,780ED3
EK222,89644F
IT372,89902D
UA166,A49F87
FD319,880856
FD651,880850
UK963,800B23
W5100,7335A3
RJ623,740735
9W319,80046B
3K762,76AA61
7C1602,71C062
SG21,800700
DR6557,7810CB
CA1274,780AD0
ZE913,71C052
WE688,88530F
NH375,862338
CI752,8991B5
MH2574,750208
HX672,780A8F
UK785,800C0C
DR6514,780E11
PG241,88420E
9W743,80067C
KA227,780A7D
BC10,8681AB
BR165,89906B
8M336,704458
I5789,800B40
KL462,48418D
EY102,896407
SU1239,424259
CA9810,780869
PR831,7583E2
GA889,8A02B7
KA633,7801D4
CZ6377,780D0F
5J553,7582E3
LO152,489527
ZH9502,780F75
5J659,7583A2
MU2590,780E82
HD65,846250
NH212,8694FA
PA275,5609AE
EK375,89647A
UO1012,789207
EK348,896114
3U8765,781014
VJ863,888097
CZ6183,780DB1
LH8386,3C70C3
HX660,780A9E
6E554,80064D
CA1256,780F63
6E205,800BF5
SV1471,710086
AC27,C0171A
ZE882,71C292
CX163,780A65
VN7269,8880AE
CZ3793,780E40
JL665,86EF67
NH63,86754E
NS3264,7808D4
TR157,76BD45
AK139,750441
SG124,800BC8
MF8491,780F0B
AA175,AA7F5E
IT2669,899025
AY74,461F4E
NH3735,86CF6F
EK159,896310
AA153,AAF828
RY8939,78061C
G8173,800C77
9C8644,7811B2
AI213,8003E5
JD5553,780598
AE270,899051
9W759,8007F2
G9518,896434
5Y8768,A4F2EE
QR231,06A092
I51568,800C4C
UO619,780AB4
9C8659,780928
SC1187,781171
FD557,88084A
BR29,8990E2
SU1642,424378
3K515,76AA68
CX110,780193
ZA214,70E05B
HU7606,780D65
CA1860,780D83
JD5128,780252
JL2504,8511CA
CI161,89901E
AK882,750111
GA866,8A028F
NH678,862DF4
BC517,8681A8
6E167,8007CA
OZ304,71C004
HO1032,780422
XY5,424174
IK302,4243F4
BL593,88803B
CZ6345,78111F
WY905,70C0C9
KK1221,4B8694
2G9788,14F112
SL219,8832B5
FD3130,880452
6E683,80068B
TR563,76D257
CZ8689,781096
PK351,760999
JL906,8686B2
FD3161,88084C
QF79,7C5324
VN594,88808B
SC4752,7812D6
NS3299,780F61
KZ89,846DEF
HU7517,78027D
BC505,8681B1
MU2011,780890
EK109,8963DA
OZ795,71BE16
HX608,780AAE
JL2235,84B79C
Q2550,05A054
MF8441,7806ED
RJ723,740729
JW873,841500
MU5292,7805F0
MU2206,7804B9
TK6524,4BA892
TK145,4BAA81
XY402,42417F
KN5856,7803CD
CA1617,780E1D
CX134,780ABA
UA89,AA92FC
AK142,7503B2
AC9,C058AA
SU1602,42433F
S7545,424131
NX610,780340
JL717,86D9DA
CA4306,780CBB
IK2575,4242D7
9W973,800B1A
ZH9942,780250
ZH9671,781007
BR282,89904A
MU2532,781233
CA888,7811A3
MU2283,780C00
TK675,4BAB26
SV1325,710095
BL784,8880F9
NH217,86E844
FM9381,780BA8
SV732,7100C3
CI121,8991AD
TG319,885156
5J379,758324
Y97055,73306B
KE82,71BE28
I51721,800C57
CI157,8991AA
PC2575,4BB846
EK637,896111
JL92,86D68A
CZ3463,780012
PR101,75831C
MU5624,780EBC
Z27111,75847F
IX345,8003B0
TK7270,4BCC28
UL892,7705C3
CZ6415,781097
9W19,800707
NH377,86DA5C
CZ6255,780248
EK35,896109
FM9359,780587
IB3321,342108
CA1253,7812DE
UA180,A2A915
FV5602,424355
SU1138,424944
IT2258,89902C
SU1858,4249B3
CI103,8991B6
EK787,8963DB
NH853,86CED2
JD5524,7806BD
FZ4359,8963BA
NH1208,86E4A6
PR336,7583A0
UA888,A28DC8
EY150,896353
JL628,861F00
CZ8048,780BCE
TK7003,4BA8D0
9W9817,800B1C
PR721,7584FA
MU5182,7800F4
6E464,800468
9W839,8007C0
NH216,86E822
SG473,800BC6
6E939,800626
QD930,70E050
FM9538,780D93
SV1020,7103D8
CZ3860,780BA5
MU5341,7809BB
NH3776,86CEE7
GF561,89405E
TV9889,780F86
S7555,424956
JD495,780E67
Z92040,68323E
UA807,A2A300
N42402,424372
QR7,06A069
CZ6258,781151
PC2797,4BB845
UT498,4249C9
AI678,800BD4
MF823,7802E5
G9151,89638D
SN3294,44CDCA
CZ3466,7804A9
NH848,86EE7E
EK967,8963D2
KN5881,781163
5J721,7583F8
TW283,71C098
CZ3243,780917
CA1774,798033
KA803,780126
UA803,AAC136
QR8425,06A2C8
JT2619,8A02EF
JD5176,780EC6
G8802,800538
JT810,8A03F8
MU582,7808E7
W5110,7335A2
AI470,800B44
OZ541,71BE25
JL374,851230
CA4172,78076F
NH90,86D986
MH6112,750263
AC25,C02EC7
JL543,851CA8
EY215,8961E9
MH2609,750222
SV380,7100B9
J9560,70620A
TK771,4BAA72
CA1420,780068
VN530,8880E7
EK600,8960CE
I5541,800BEA
PS778,5082E6
CX36,780A1C
OM224,682643
HU7874,7804FA
CZ3116,78070A
MU2975,7800CE
UT438,42425E
QR233,06A095
OZ359,71C267
CZ6542,7800AE
HX253,78920F
SU5628,4240DF
9W763,80015E
CZ3097,780C75
MF8033,780F57
7C1902,71C296
TK7260,4BA8E2
NH1087,869278
NH864,86CE8E
EK27,8963D0
OD1007,7503FB
TK2220,4BAA43
VN414,888061
KE38,71C010
J2807,600803
TK310,4BAA13
TK7411,4BCC50
CZ3560,780E09
OZ151,71C265
PC8390,4B86D0
NS3312,7809F5
PC2080,4BB848
CK233,78029E
TG561,88001D
NH173,868E9E
EU2218,780EF7
BR5,8990D5
HD23,840593
MU5811,781214
TK6548,4BA88F
R3491,155BCE
XY122,42416C
IJ1031,840587
CX118,780AA4
MU5505,79A04E
TK5268,4BAA4A
MU2335,780D25
UA32,A2A3D2
SZ252,48435F
SL8031,88302A
MF8474,780B40
BL786,8880C4
CA4190,7804BE
CZ3198,78091C
BY419,4067F5
UL708,77044E
HY16,507C42
LX189,4B1900
CZ6899,780C3D
PO751,A57719
AI922,800C44
VJ783,88803F
6E642,800603
FM9304,7803E6
9W472,800C76
CA992,780AE5
JL515,86EF01
CA739,78064B
JL567,86EF8A
AI676,80058A
TK2043,4BAA50
SC8425,780C90
HY639,507C3F
MH751,750245
MU545,780B7F
PC2061,4B85D0
UA872,A1C7E4
GK350,845F78
TG614,885172
9H8366,7802B5
SG192,800B82
ZH9424,7808B3
UT536,4249DE
TK783,4BAA6C
6E389,800C15
TR979,76D038
MU563,78009D
EY140,8962E5
G8334,80051E
KY8340,780DE7
DL27,ABD2DA
NH215,86EAEA
JH504,8413B8
ZH9633,780839
UA896,AAA125
AK5104,7503E4
SV1913,710089
CA4162,7810BA
PC786,4B8533
PC1588,4B8E02
SQ878,76CE66
CZ6023,780FD3
QF61,7C531D
HX236,780AC2
9W365,8007C4
3U8882,7811E5
UA837,A1C7C1
BR6,8990D8
TK2826,4BAAD5
CA1315,780010
CZ6975,78130B
TG628,880044
PC1860,4BA74A
BC590,8681B6
G9542,896371
QR221,06A029
SV1682,71007B
CX3241,780217
FX5311,A01412
AF460,3965A6
EK141,896471
BR105,8990CE
6E196,800625
BR8,899035
EK795,8963E2
MU5473,780938
MU2987,78064C
FD762,880C46
BR191,899063
JL785,861F66
NZ97,C820CE
NS3246,7BB136
MU5836,780E84
VN502,88808C
JL2006,850D8C
MU9646,7809BE
9C8672,780F2C
GF153,89402A
UK752,800BB0
MF8152,780CDC
G8272,8007E5
LY611,738051
HU7816,781000
HU7709,7806E2
CA4516,78028B
FZ847,896335
JL915,86EF69
CZ3103,7808AF
CZ3688,780DAC
FZ717,896331
EK17,8960F3
UO870,780AB3
JL587,86EF68
OZ602,71BE35
OZ501,71BF32
CA8972,7806DF
OZ1075,71BF40
HO1246,78083E
QG5602,8A064D
MF8267,7805D6
Z2943,758330
SV562,7103DB
SQ31,76CDAD
6E178,800602
MU5108,780611
AK1723,750333
XY81,424189
6E744,800B11
9W735,800C80
J29103,424382
GK413,84B940
DL7,AB3D41
HU7718,780B19
SU1129,42498A
IR721,732542
6E486,800B2C
HO1267,78009C
QR920,06A066
SV1772,710117
KC672,484490
PC2139,4B9065
MM455,86CE79
9W9816,8001D2
XY114,42417D
5Y8603,A88752
CZ602,780BD9
6E6361,800689
UK701,800BD2
KE130,71BE37
9W271,800AFA
CA131,7803F4
KK131,4BCDD4
PR213,75830B
NH62,8678C0
CA1428,780FDC
XQ9738,4BCDE7
TK337,4BAA75
RJ705,740733
AM91,AD727C
CZ3260,780C76
SU1965,424377
AC17,C058BE
EK9884,89616D
3S590,3C4581
JL554,862D72
VJ252,8880D9
CA1986,780B46
EK571,89610A
CZ3702,780F12
VZ401,885962
XQ9084,4BCCAB
3U8567,780B68
DL199,A0F815
JL7,86E4DA
QR8951,06A141
KN5216,7805B2
QS1287,49D232
SV265,71005C
HO1660,7806E4
NH232,86D572
ZE631,71C053
BR107,8990B1
PC4820,4B906D
9W414,80072C
FM9505,780B2F
EK39,896483
HX69,789210
TK2216,4BAAA9
ZH9442,7810E7
CZ6504,78066F
EK425,89619A
FM9197,7BB084
NH252,86D222
9W542,8001CF
PC2709,4BB84D
NH1750,863188
BR131,899077
G8245,800C61
TK813,4BAA86
S24378,8001FE
MU552,780D9C
VN230,888123
CA4124,780D37
VN592,88807A
ST4915,3C4982
AK1720,750239
NH746,868428
CA935,7808A8
BL656,888088
WY346,70C0CA
AK24,750140
CA1760,7800E0
NH464,868338
HX216,780A46
EK409,89611E
ZH9691,780C68
FD509,88085A
AA27,AB5FC9
6E801,800B2B
SV3842,4BBC69
SU1369,42434B
BI683,895051
CA1806,780F64
TW277,71C070
CA1480,780CBE
EY287,8961EB
NH7,869122
CA4246,780800
MU5728,780E83
QW9838,7802B3
JL860,8621EA
B3271,7812BC
FM9172,7803E7
CA1877,780E20
AA125,A9961B
9C8895,78067F
RL8790,42459E
GA856,8A05AB
KN5201,780897
KY8254,780E95
UA7,AA9300
KA380,780A81
KE2708,71BD33
CZ6199,781152
CK222,78071B
ZO4053,736838
FM854,780D2D
TG618,885179
SV1484,710090
MH787,750204
8Q47,4BBC81
Y87537,781092
TK7225,4BA8D9
UA881,AAC8A4
PN6263,780BA7
SB801,3A1E43
CA1452,780426
CZ6609,7803B1
Y87508,7804A1
OD564,750403
IX194,80044D
TK2630,4BA96F
ZH9623,780BEF
MF8287,780FA1
AK1207,750436
EK957,896214
NH3738,86CF09
IX321,800B99
NH576,86E184
QR959,06A0B2
PK285,760993
8L821,78101F
3U8541,781013
GF706,89405C
MS901,0101BD
RJ613,740731
FU6631,780B99
AK529,7501FD
CV798,4D0111
3U8847,780677
JD5740,7800D5
EK415,8960E5
MU2019,780CAC
TV6036,7810AB
QR295,06A09B
CZ6357,7802EE
XQ9192,4BCDE6
CZ644,780BDA
MI606,76B4EB
CA167,78090F
TK879,4BB1E6
BC765,8681AD
EK15,8960E9
MU5564,780FE7
NE171,010141
BK2949,780D58
HX337,780A31
IR658,7324A6
CZ3231,780AF1
PR301,75833A
FM9457,7806F4
AI506,800BE6
MU5252,781234
AI509,800B63
CA4317,7810BC
FZ147,896334
SU1703,42429B
FD177,880456
HU7577,7804A0
EK1,8960EA
NH177,86DA38
NH2154,86DDF0
TK2453,4BAACF
CA1313,781009
NH555,86D8FC
HY37,507C3E
JL3107,851580
MU235,7800FF
VJ122,4B9902
EY645,896398
6E874,800595
XJ606,886286
CI904,8991A3
JL5,867FAC
AC7,C01759
W561,7335A8
BR808,899052
FD357,880C41
HY52,507C40
FZ157,896333
MU2219,7804F5
KE36,71C218
B8132,780704
TK809,4BAA0E
SQ997,76CE64
MH755,7502B2
AK264,750458
QR8661,06A1A2
ID6897,8A0636
LH721,3C4AD7
CZ3733,780265
PC4816,4B8C6A
G8221,8007B6
PR1850,758303
W5106,7335A4
MF8402,780D78
TK7470,4BA8CA
CZ6391,780BD2
JL646,86EF8B
SU5497,400160
TR372,76D152
6E918,80051A
EK819,89620E
IT237,899028
KE951,71BD74
CA1354,78115E
UK882,800C64
CA415,780065
CX257,780A9C
MU2789,780EBE
GK602,847884
8L9866,780433
EY301,8963AA
XY501,4241EB
MU5705,780F43
CA1290,78009B
QR427,06A09E
RS764,71BA12
EY333,896429
AC63,C02ED9
EK927,8960D8
JL45,867F68
QR812,06A0F5
OZ231,71BF39
AK1502,75045A
MF8528,7812F1
PK266,760984
SV1902,710138
HU7142,78025B
DL167,A0F828
AP5632,CBA9E7
HX22,780A24
MU2446,78078B
SU261,42429A
VJ941,8880DC
SV566,71040C
NU54,8409ED
NH254,86752C
ZH9138,780667
6E6373,800719
Z238,75847A
3U8514,7803E3
HH7273,735043
KE54,71BE44
FM9389,780FBC
6E769,800BE0
NH3790,86D215
AK512,75013F
SV9653,4BBC6C
JW103,841894
QR259,06A03C
KA325,7801C1
B8202,780904
TK5363,4BA9ED
CZ3539,780ED0
GK613,8466A0
AQ1098,781029
NX2,780D4A
Z92005,6831F5
QR615,06A027
BC714,8681BE
AF275,3965A8
QR8601,06A0DD
NS3527,781037
ZH9381,780471
JL258,851F4E
CZ6520,7806FC
UL122,77058F
8Q4862,4BBC4B
6E165,8004B4
XY401,4241EA
7G46,842292
DP114,4243F1
HU7332,781062
G9125,8964C6
UL102,77058E
FZ215,8963B3
OZ171,71C282
NH8508,86D67E
BK2701,780C56
LH715,3C6702
CA1530,780FDF
EK545,89607D
KA296,7801AD
KE894,71C275
VS251,406B49
NH171,86D244
HX658,780A5D
CA1312,780524
AC5,C023C8
A3929,4690F1
HU7830,780E2A
CA4186,7805F3
3U8870,780310
TK2922,4BA8F4
6E186,8007CF
PC2411,4B9066
QR629,06A0AE
6E973,800B75
WE131,885303
OZ339,71BF92
WY236,70C0F2
OD573,750400
NH65,86785A
QR965,06A0BA
HU7078,780C48
UT507,A045A3
U6525,4242B3
7C5102,71BF79
AI505,800BF9
TG321,8850B3
PO241,A874BF
SU6102,4248E4
CI550,899084
MU5289,780EBA
CA1904,7800DF
3U8913,780CED
PR2774,7582A0
AA181,AB0969
VN1264,888053
AK526,750463
HO1180,780E79
BI872,89502F
SV703,710057
6E6104,800624
XQ7780,4BCCAF
9W407,8001D1
PO7970,ABABB7
BC764,8681B0
CZ3678,780410
SG972,8007EF
TG664,88002E
KE789,71C250
AK5113,75022B
SG57,4BD153
OZ241,71BC17
EK971,89611C
UT823,424107
SU291,4242A3
SU205,424568
6E823,800C0F
FZ263,8963AE
6E256,8005F7
NH1101,840FB0
9W70,80046C
MF8057,780259
KA640,78018A
AI430,8005ED
SC8796,78111A
QR305,06A022
NH183,86EF06
SV1394,7100A9
ZH9701,78031A
GS7525,780B32
GF155,89402E
FD636,880446
EK179,89631B
LY319,73806A
MH2743,750211
SG479,80070F
TK7292,4BCC56
TK827,4BAA56
PS716,50839B
3U8698,780B88
QR657,06A088
CZ3458,78046C
HX618,780A9F
JQ11,7C6BC3
HY533,507C4E
CZ6317,78099C
HU448,780E2F
HU6130,780417
KN5959,781164
TG612,8850B0
9W389,8001CD
MU5110,780D92
JL2905,84C5A8
AC29,C01A7D
HO1012,7806A5
KE20,71C011
CA140,780CBF
CA4338,780DFD
Y97136,742835
AK538,75029C
EY19,8963CD
RS7429,71C266
MH2621,750216
ME215,748028
MI751,76B4E8
QF127,7C146F
9C8636,780AD9
SV1552,7100AC
J9164,70620C
DD7512,881058
VJ244,88813D
EK751,8960E3
XQ9128,4BCDE2
XQ9006,4BCDDA
CA4130,780FDE
EK613,8963E1
VN232,888062
TK369,4BB1C2
W5112,7335CF
9W9,800B65
QR27,06A0C1
QR203,06A0B4
NX5,780EC2
TK7422,4BA8CB
CZ3524,780F78
HU7439,780FFF
ZH9903,780665
CA412,78068C
U8140,4C8066
B9984,733484
5J793,7582B3
SV1108,7100B0
G9337,896496
NH175,867FE8
HU7190,780D64
DD7105,88105A
SC1170,780578
6E345,800C37
AI639,8004BD
HX771,780A1F
KE24,71C008
QR293,06A08F
WY226,70C0C2
3K818,76AA71
EK651,8960CF
MH785,75031A
J9605,70620F
JL908,868DFC
DZ6299,7810D1
AF382,394A08
NH327,85DB54
6E398,800BB6
AZ787,4CA938
3K672,76AA72
ZH9477,780719
FM816,7800F3
GA984,8A003A
MU5258,78119D
3U8963,78080A
CA1485,7804BD
6E393,800C74
6E377,503C62
LY393,738050
CZ3282,780431
CA4164,7800BB
PC1880,4B8E1A
CA4571,780D84
KE18,71BE13
HO1190,781056
TK2010,4BAA67
TG974,885152
UO182,780A73
EY278,8962E2
JL480,8518F2
MU277,780B79
ZH9211,7806AD
HD133,841E00
CZ336,780644
MU5702,7812F4
TK2674,4BA8F0
SQ8,76CEF2
HU496,780EF8
RS751,71C280
QR239,06A138
MI701,76CD89
BX125,71BA10
CZ3061,7805CC
CA830,7807CE
EK73,896457
GK204,840CD8
FD403,880448
CA1462,7803F8
QF29,7C5325
CA4176,7809A3
JL11,86DD2A
QR8212,06A190
MF8233,780795
DL589,A0F541
KE905,71BE38
MU722,780CAA
CZ3987,78051A
CZ3622,7804A8
8L9780,7810BF
CI862,899042
I5129,800B09
IR713,732541
TG204,88001C
QR125,06A046
CA105,780C99
KE791,71BD66
TG413,880017
LH1451,3C6489
CZ3804,780709
PC1936,4B85B0
EK151,896478
JL517,861EBC
CI642,8990A2
CZ3554,780015
CA1215,7803F5
MU5681,78122B
BY237,4006B4
EY441,8960C6
6E477,800B3A
PR658,75833B
DP163,4243E9
VJ713,8880B0
G8319,800BB8
EK657,8960D6
UO707,780AC6
MH2806,750282
CA1406,780D2C
CZ320,781146
EK941,89610D
S73315,424582
KE692,71BE14
BR171,89904E
QR39,06A144
RS521,71C281
BT772,502CCD
MU5042,78122F
6E317,800C10
UL178,7705C1
VJ5104,888151
6E75,800B3F
5Y511,A561FD
3U8703,7805BA
CZ3909,7802F3
KA760,780A41
9W302,800C81
SV826,710064
KA892,78012D
TK690,4BAA84
VJ255,88811C
MF8406,78047B
CI731,8990AE
CZ6155,7807C1
ZH9102,78044B
NH679,85D098
SU6119,4245B2
DP469,424368
SU5437,400166
KC135,48433E
6E6929,800BAD
MH730,750236
JL319,86EF6A
I51526,800B0A
KA212,780186
AI307,800737
JL577,850E36
EK855,8960DE
IV4306,728E1A
QW9877,78113C
9W211,800705
EY650,896255
CZ8465,78010B
MU710,780C4D
7G82,84C43E
9C8554,78080E
LJ238,71BD61
JD5520,78096B
NH87,861B86
UO601,780AC1
FD3091,880849
AI866,800414
TK6477,4BB14D
F3141,71012A
JT82,8A0578
PG947,88420D
CA4276,780830
LY2371,738069
3U8512,7805D0
CZ3102,780B13
NH959,86D266
KE923,71BD54
QR611,06A1BD
SQ912,76CEC9
MU5596,78069D
SM456,0100E7
CA1810,780C9D
OZ101,71BE34
CX406,7801C8
VJ132,88813F
KN5857,7800BF
6E179,8007CD
3U8878,780E4F
SC4898,780575
SV764,71005B
SV9369,4BBC68
KC932,4844A0
SV3340,710043
WY276,70C0BF
6E759,800B73
ZH9610,78056D
NL719,7609A3
9W18,800B1E
FD3104,880441
EK157,8960DB
KE817,71BF19
TK2458,4BAA85
SU1246,155BDC
6E236,8006E1
OZ201,71BE26
JL2206,84C586
PR526,75823D
CZ3017,780AF6
LY353,73806D
5J951,7583A5
9W585,8005A1
TK2613,4BA8F3
CX367,780237
CZ3081,780278
DL599,A0D961
CA1377,781160
KE72,71C082
CX653,780133
KE551,71BE29
SV1021,710062
CZ6238,7804AA
CZ378,780BA3
EK77,896477
VJ731,8880CC
HO1083,780B91
QR840,06A1C0
QR273,06A070
CZ3952,7805FC
NH1182,867D00
6E3834,8008C2
CA1270,7803F7
3U8948,780CEA
MU586,780DA0
VJ133,4B9919
FD244,880450
CI834,8991A0
CI2131,8991BA
9C8876,780927
MU5248,78066A
NH1263,86D6C8
FM9412,780F96
CZ6883,78130A
SU2136,424319
DL128,A0F7C1
3U8929,780733
JW825,845CE4
8M337,704946
SU1158,424348
BR130,89904D
DL296,A16C3A
ET3714,040060
CZ467,7807BB
MU569,780DE5
KA378,780A40
9W433,80040C
BR869,8990DD
SU506,424342
VJ631,888156
TK2246,4BA902
6E308,800688
9C8662,78067E
LY2651,738060
CA1948,7808C7
ZH9862,780041
GK506,841400
ZH9844,780B8F
MU2215,7802A2
CA1752,7806FA
EK757,896219
SV459,71012F
SL708,883296
QR1379,06A018
HU7366,78001B
SZ257,515313
HD78,845EBC
GS6574,780C6F
PS371,5081E7
E3832,0C602D
OD184,7503D7
VJ947,888126
MU2647,7807D1
3U8900,780E51
FZ918,8964CF
TK5361,4BA9E7
MU2338,780094
7C1307,71C234
UK812,800C3C
HO1257,780753
CA1557,7805A0
CZ3204,78070E
TK797,4BAAD2
GK511,846A34
CZ3732,780DAB
AI889,8004D5
CA4532,780D8C
A4201,155BFD
MU9605,780B82
PR2543,758203
OZ702,71BC18
PC2430,4B8E0A
OD581,750406
EK527,896216
6E5126,800B96
LN253,01806B
KE935,71BD98
TK7330,4BCC6C
SU1434,424332
MU292,78064D
FD5420,880454
VN1613,8880A5
TK2839,4BAACA
HO1167,781055
NL764,76098E
MU590,781101
ZH9290,7806AF
DP108,4243E8
LJ246,71BF86
QR17,06A0C2
6E568,80068D
HD84,8745FF
3U8759,780DDE
VN347,8880AD
FZ221,8962AA
JL779,861BD2
KE746,71BD51
JQ25,7C6BC1
OQ2383,78050A
WE684,885306
RU376,424379
JL781,8674AC
EY247,896347
CZ6307,7805AC
AY86,461F48
CO712,4C8064
SL806,883288
9W77,80071F
JL958,850DD0
CZ6754,79A071
HO1056,780653
MU5735,7807D7
CZ6329,780749
TK2648,4BAAAB
VN600,888075
KA901,780195
KA207,7801C2
VJ5214,888125
EK147,896196
KE704,71BC61
EY622,8963F9
EY29,8961E7
9W250,8001CC
CA928,780873
TR896,76BD44
KN5897,7802FB
KC979,48448D
RJ831,740732
FM9464,78030C
HO1335,780978
BC305,8681AA
WY815,70C0DC
MF8020,780BC7
SG185,8001D9
CA9502,780CBA
TG8543,880018
D7502,750299
FZ55,896332
KE742,71BD31
MU503,78108C
JL630,851936
S24662,800173
MF8424,780F9F
QD676,70E04F
OS48,440002
JL2207,84C27A
QR1351,06A02E
HU7182,7812EC
DD7809,881059
MU280,781104
NA22,010140
OZ221,71BF00
UA851,A1F1A0
QR127,06A0A5
FD571,880843
ZH9842,780BF0
DP506,4245A9
7C1105,71C034
MU2678,78078A
WY337,70C0A8
SU1145,4249B5
KE915,71C084
CA4006,780FB2
ZH9175,7805E2
B3706,680006
QR265,06A091
HX248,780A6B
ZE832,71C048
MU5830,780650
HU7704,781002
CZ382,78114B
CI104,8991B0
SV3667,4BBC6B
AK5642,75027D
FD255,88044D
TK7140,4BCC2B
NH666,86750A
MU270,780855
CI532,8991AC
MU9620,780C52
CZ304,780B12
CZ6523,7800AF
UA143,A2CA64
SV259,71018C
SU1636,424312
5J994,75829C
CZ6147,7809FA
TG404,885104
6E6966,503C73
HU7192,7BE013
MU5342,780F97
EK55,896180
W51095,7335CB
LJ232,71BD59
JL316,868DDA
MI936,76B4ED
QR57,06A0E0
VJ134,8880F5
CZ3276,780C36
MF8594,780684
WE25,885304
GA860,8A026C
WY903,70C0B9
AF117,3949F0
ZH9693,780303
MF8032,7810B0
TK784,4BA9CB
QS1241,49D2B9
WY242,70C0F7
BC717,86803D
CZ6475,78091B
5J565,758325
PG247,88420B
G9734,89638E
PO766,A62EE6
AK5107,7503F6
MM905,86D251
K6959,70E048
MU2828,780CDA
FZ709,896379
8L9670,780E9A
AI542,8003C1
TG476,88006E
KC111,484340
JL2185,84BACA
SQ462,76CE94
OZ271,71C254
DR5325,780D4C
